feature,importance
T10YFFM,0.08676742442016766
AAAFFM,0.0734734547234827
TB6SMFFM,0.06109325163510623
T5YFFM,0.05759074922903717
AWHMAN,0.05219936163579222
TB3SMFFM,0.03599587578286915
TERM_SPREAD_GS10_TB3MS,0.032198727506845264
PERMIT_12M_LOG_GROWTH,0.031164198329228787
BAAFFM,0.028253711081963437
CES0600000007,0.027242159667967416
CREDIT_SPREAD_BAA_AAA,0.02192994425998888
MANEMP,0.02140718152878211
T1YFFM,0.01880103962960859
M2REAL,0.018036311351404568
COMPAPFFx,0.016991017631795374
SRVPRD,0.015929712304421723
DMANEMP,0.01407477968714743
UNRATE_12M_CHANGE,0.012821303864009157
UNRATE_3M_CHANGE,0.01207134431860356
PERMIT,0.011201468870810442
IPMANSICS,0.010978597884097703
PAYEMS,0.010755627294853486
HWI,0.009966007009088914
HWIURATIO,0.008355038762838628
IPFPNSS,0.008213012491383226
HOUSTW,0.008199339930856517
VIXCLSx,0.007902714102136575
USTPU,0.007861526099039414
BAA,0.0074298720097528866
PERMITW,0.0070232174678608655
USGOOD,0.0069325449022862515
CPIAUCSL,0.006719660632926496
IPFUELS,0.006553797285195368
USCONS,0.006288080483625145
PERMITS,0.006243116268689931
PERMITNE,0.006210688609085455
INDPRO,0.0061468568114180396
HOUST,0.0057441031059601985
CUMFNS,0.0056618259715704965
AMDMUOx,0.005647159073909926
HOUSTMW,0.005442597753856002
CUSR0000SAS,0.0052225142649208744
PERMITMW,0.004873365045930815
S&P 500,0.004694622937724061
USFIRE,0.004674671625155673
CUSR0000SA0L5,0.004673076630182234
USWTRADE,0.004317583327772558
HOUSTS,0.004271725234739947
TB3MS,0.0042400583786147425
CUSR0000SAD,0.004186774913112999
IPDMAT,0.004022298325941258
EXJPUSx,0.00398235910845713
WPSID61,0.0038666776100817987
UEMPLT5,0.0037256057279554753
UEMP15OV,0.003644714368737723
S&P div yield,0.0035594245659824
CES1021000001,0.0034964650417230072
RPI,0.0034190822628371574
BOGMBASE,0.0034075704559581124
UEMPMEAN,0.0033805652858553015
FEDFUNDS,0.0032425442839711474
UEMP5TO14,0.0031986099863278565
HOUSTNE,0.0031692341947460166
PCEPI,0.0031545348637286824
USTRADE,0.0031209280534710677
W875RX1,0.0031147350289047024
CPITRNSL,0.003020088350412755
AAA,0.0030013100217767385
S&P PE ratio,0.0029917496649583663
GS1,0.0029486672755586756
IPDCONGD,0.0028581861400682504
BUSINVx,0.002805943718830587
IPFINAL,0.0027871405423330335
CP3Mx,0.002656972547954597
NDMANEMP,0.0026278138211790997
IPMAT,0.0025896872545353145
ANDENOx,0.0025659845263970877
TB6MS,0.00239168178811236
USGOVT,0.002322252909922045
CLAIMSx,0.002079269065337437
UEMP27OV,0.0020352014596074367
GS10,0.0020158864210565253
WPSFD49502,0.0020109418189870813
IPBUSEQ,0.0020046729082313555
IPCONGD,0.0019917441815701527
AMDMNOx,0.0019347990407063678
WPSFD49207,0.001930958787768936
NONBORRES,0.0019280249874342459
M2SL,0.0018298041158187788
CES3000000008,0.001715258666771721
CPIULFSL,0.0017150750741526959
CES0600000008,0.0016365229168090946
CUSR0000SA0L2,0.0016283079008503995
RETAILx,0.0016233492071603733
DPCERA3M086SBEA,0.0016161589125885188
UNRATE,0.001601136761951202
TWEXAFEGSMTHx,0.0015948402788636656
NONREVSL,0.0015874952239338617
CE16OV,0.0015424699725983821
IPNMAT,0.0014971168007381342
CONSPI,0.0014960292854483501
TOTRESNS,0.0014795667143907185
DDURRG3M086SBEA,0.0014758390982627806
CLF16OV,0.0014500329309282752
M1SL,0.0014449833750767823
CMRMTSPLx,0.0012095787412162772
IPB51222S,0.0011732455951221034
EXUSUKx,0.0011476476696825003
ISRATIOx,0.0010774790902312674
CPIMEDSL,0.0010347528283248242
AWOTMAN,0.0009265295784705369
BUSLOANS,0.0009075519925252047
DTCTHFNM,0.0008995386543693957
EXCAUSx,0.0008992050091874067
GS5,0.000898618266077241
PPICMM,0.0008455376065257831
CPIAPPSL,0.0008279478352534704
IPNCONGD,0.0008258107855322257
UEMP15T26,0.00082089141133786
INVEST,0.0007829961478921292
WPSID62,0.0007592332319909007
DNDGRG3M086SBEA,0.0007559797769451341
DSERRG3M086SBEA,0.0007375376467079094
CUSR0000SAC,0.0006749353518083244
REALLN,0.000674565682369909
EXSZUSx,0.000555552420104343
DTCOLNVHFNM,0.000475828333823071
CES2000000008,0.0002406922030246233
OILPRICEx,0.00023723674009925384
